TestId,Rank,ProbeMRR,ProbeERI,ProbeEPI,GalleryMRR,GalleryERI,GalleryEPI,P_Pos,G_Pos,MES_Id,Score,Qual_type,P_Qual,G_Qual
A014,1,1,,,1000,,,ALL,ALL,1,2410.244177986548,,,
A014,1,1,,,1000,,,1,1,1,2410.244177986548,,,
A014,1,1,,,1000,,,2,2,1,2410.244177986548,,,
A014,1,1,,,1000,,,3,3,1,2410.244177986548,,,
A014,1,1,,,1000,,,4,4,1,2410.244177986548,,,
A014,1,1,,,1000,,,5,5,1,2410.244177986548,,,
A014,1,1,,,1000,,,6,6,1,2410.244177986548,,,
A014,1,1,,,1000,,,7,7,1,2410.244177986548,,,
A014,1,1,,,1000,,,8,8,1,2410.244177986548,,,
A014,1,1,,,1000,,,9,9,1,2410.244177986548,,,
A014,1,1,,,1000,,,10,10,1,2410.244177986548,,,
A014,2,1,,,1001,,,ALL,ALL,1,1861.1030273893055,,,
A014,2,1,,,1001,,,1,1,1,1861.1030273893055,,,
A014,2,1,,,1001,,,2,2,1,1861.1030273893055,,,
A014,2,1,,,1001,,,3,3,1,1861.1030273893055,,,
A014,2,1,,,1001,,,4,4,1,1861.1030273893055,,,
A014,2,1,,,1001,,,5,5,1,1861.1030273893055,,,
A014,2,1,,,1001,,,6,6,1,1861.1030273893055,,,
A014,2,1,,,1001,,,7,7,1,1861.1030273893055,,,
A014,2,1,,,1001,,,8,8,1,1861.1030273893055,,,
A014,2,1,,,1001,,,9,9,1,1861.1030273893055,,,
A014,2,1,,,1001,,,10,10,1,1861.1030273893055,,,
A014,3,1,,,1002,,,ALL,ALL,1,1797.0905151719337,,,
A014,3,1,,,1002,,,1,1,1,1797.0905151719337,,,
A014,3,1,,,1002,,,2,2,1,1797.0905151719337,,,
A014,3,1,,,1002,,,3,3,1,1797.0905151719337,,,
A014,3,1,,,1002,,,4,4,1,1797.0905151719337,,,
A014,3,1,,,1002,,,5,5,1,1797.0905151719337,,,
A014,3,1,,,1002,,,6,6,1,1797.0905151719337,,,
A014,3,1,,,1002,,,7,7,1,1797.0905151719337,,,
A014,3,1,,,1002,,,8,8,1,1797.0905151719337,,,
A014,3,1,,,1002,,,9,9,1,1797.0905151719337,,,
A014,3,1,,,1002,,,10,10,1,1797.0905151719337,,,
A014,4,1,,,1003,,,ALL,ALL,1,1796.520659956041,,,
A014,4,1,,,1003,,,1,1,1,1796.520659956041,,,
A014,4,1,,,1003,,,2,2,1,1796.520659956041,,,
A014,4,1,,,1003,,,3,3,1,1796.520659956041,,,
A014,4,1,,,1003,,,4,4,1,1796.520659956041,,,
A014,4,1,,,1003,,,5,5,1,1796.520659956041,,,
A014,4,1,,,1003,,,6,6,1,1796.520659956041,,,
A014,4,1,,,1003,,,7,7,1,1796.520659956041,,,
A014,4,1,,,1003,,,8,8,1,1796.520659956041,,,
A014,4,1,,,1003,,,9,9,1,1796.520659956041,,,
A014,4,1,,,1003,,,10,10,1,1796.520659956041,,,
A014,5,1,,,1004,,,ALL,ALL,1,1667.6109369446667,,,
A014,5,1,,,1004,,,1,1,1,1667.6109369446667,,,
A014,5,1,,,1004,,,2,2,1,1667.6109369446667,,,
A014,5,1,,,1004,,,3,3,1,1667.6109369446667,,,
A014,5,1,,,1004,,,4,4,1,1667.6109369446667,,,
A014,5,1,,,1004,,,5,5,1,1667.6109369446667,,,
A014,5,1,,,1004,,,6,6,1,1667.6109369446667,,,
A014,5,1,,,1004,,,7,7,1,1667.6109369446667,,,
A014,5,1,,,1004,,,8,8,1,1667.6109369446667,,,
A014,5,1,,,1004,,,9,9,1,1667.6109369446667,,,
A014,5,1,,,1004,,,10,10,1,1667.6109369446667,,,
A014,6,1,,,1005,,,ALL,ALL,1,1313.6584303343639,,,
A014,6,1,,,1005,,,1,1,1,1313.6584303343639,,,
A014,6,1,,,1005,,,2,2,1,1313.6584303343639,,,
A014,6,1,,,1005,,,3,3,1,1313.6584303343639,,,
A014,6,1,,,1005,,,4,4,1,1313.6584303343639,,,
A014,6,1,,,1005,,,5,5,1,1313.6584303343639,,,
A014,6,1,,,1005,,,6,6,1,1313.6584303343639,,,
A014,6,1,,,1005,,,7,7,1,1313.6584303343639,,,
A014,6,1,,,1005,,,8,8,1,1313.6584303343639,,,
A014,6,1,,,1005,,,9,9,1,1313.6584303343639,,,
A014,6,1,,,1005,,,10,10,1,1313.6584303343639,,,
A014,7,1,,,1006,,,ALL,ALL,1,1277.2286550354547,,,
A014,7,1,,,1006,,,1,1,1,1277.2286550354547,,,
A014,7,1,,,1006,,,2,2,1,1277.2286550354547,,,
A014,7,1,,,1006,,,3,3,1,1277.2286550354547,,,
A014,7,1,,,1006,,,4,4,1,1277.2286550354547,,,
A014,7,1,,,1006,,,5,5,1,1277.2286550354547,,,
A014,7,1,,,1006,,,6,6,1,1277.2286550354547,,,
A014,7,1,,,1006,,,7,7,1,1277.2286550354547,,,
A014,7,1,,,1006,,,8,8,1,1277.2286550354547,,,
A014,7,1,,,1006,,,9,9,1,1277.2286550354547,,,
A014,7,1,,,1006,,,10,10,1,1277.2286550354547,,,
A014,8,1,,,1007,,,ALL,ALL,1,1241.4337724214415,,,
A014,8,1,,,1007,,,1,1,1,1241.4337724214415,,,
A014,8,1,,,1007,,,2,2,1,1241.4337724214415,,,
A014,8,1,,,1007,,,3,3,1,1241.4337724214415,,,
A014,8,1,,,1007,,,4,4,1,1241.4337724214415,,,
A014,8,1,,,1007,,,5,5,1,1241.4337724214415,,,
A014,8,1,,,1007,,,6,6,1,1241.4337724214415,,,
A014,8,1,,,1007,,,7,7,1,1241.4337724214415,,,
A014,8,1,,,1007,,,8,8,1,1241.4337724214415,,,
A014,8,1,,,1007,,,9,9,1,1241.4337724214415,,,
