TestId,Rank,ProbeMRR,ProbeERI,ProbeEPI,GalleryMRR,GalleryERI,GalleryEPI,P_Pos,G_Pos,MES_Id,Score,Qual_type,P_Qual,G_Qual
A015,Null,1,,,1000,,,ALL,ALL,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,1,1,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,2,2,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,3,3,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,4,4,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,5,5,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,6,6,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,7,7,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,8,8,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,9,9,1,3109.3720619536343,,,
A015,Null,1,,,1000,,,10,10,1,3109.3720619536343,,,
A015,Null,2,,,1001,,,ALL,ALL,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,1,1,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,2,2,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,3,3,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,4,4,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,5,5,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,6,6,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,7,7,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,8,8,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,9,9,1,1987.4976546830271,,,
A015,Null,2,,,1001,,,10,10,1,1987.4976546830271,,,
A015,Null,3,,,1002,,,ALL,ALL,1,2270.00321234135,,,
A015,Null,3,,,1002,,,1,1,1,2270.00321234135,,,
A015,Null,3,,,1002,,,2,2,1,2270.00321234135,,,
A015,Null,3,,,1002,,,3,3,1,2270.00321234135,,,
A015,Null,3,,,1002,,,4,4,1,2270.00321234135,,,
A015,Null,3,,,1002,,,5,5,1,2270.00321234135,,,
A015,Null,3,,,1002,,,6,6,1,2270.00321234135,,,
A015,Null,3,,,1002,,,7,7,1,2270.00321234135,,,
A015,Null,3,,,1002,,,8,8,1,2270.00321234135,,,
A015,Null,3,,,1002,,,9,9,1,2270.00321234135,,,
A015,Null,3,,,1002,,,10,10,1,2270.00321234135,,,
A015,Null,4,,,1003,,,ALL,ALL,1,2832.073876022193,,,
A015,Null,4,,,1003,,,1,1,1,2832.073876022193,,,
A015,Null,4,,,1003,,,2,2,1,2832.073876022193,,,
A015,Null,4,,,1003,,,3,3,1,2832.073876022193,,,
A015,Null,4,,,1003,,,4,4,1,2832.073876022193,,,
A015,Null,4,,,1003,,,5,5,1,2832.073876022193,,,
A015,Null,4,,,1003,,,6,6,1,2832.073876022193,,,
A015,Null,4,,,1003,,,7,7,1,2832.073876022193,,,
A015,Null,4,,,1003,,,8,8,1,2832.073876022193,,,
A015,Null,4,,,1003,,,9,9,1,2832.073876022193,,,
A015,Null,4,,,1003,,,10,10,1,2832.073876022193,,,
A015,Null,5,,,1004,,,ALL,ALL,1,2628.900088776467,,,
A015,Null,5,,,1004,,,1,1,1,2628.900088776467,,,
A015,Null,5,,,1004,,,2,2,1,2628.900088776467,,,
A015,Null,5,,,1004,,,3,3,1,2628.900088776467,,,
A015,Null,5,,,1004,,,4,4,1,2628.900088776467,,,
A015,Null,5,,,1004,,,5,5,1,2628.900088776467,,,
A015,Null,5,,,1004,,,6,6,1,2628.900088776467,,,
A015,Null,5,,,1004,,,7,7,1,2628.900088776467,,,
A015,Null,5,,,1004,,,8,8,1,2628.900088776467,,,
A015,Null,5,,,1004,,,9,9,1,2628.900088776467,,,
A015,Null,5,,,1004,,,10,10,1,2628.900088776467,,,
A015,Null,6,,,1005,,,ALL,ALL,1,2563.206636221996,,,
A015,Null,6,,,1005,,,1,1,1,2563.206636221996,,,
A015,Null,6,,,1005,,,2,2,1,2563.206636221996,,,
A015,Null,6,,,1005,,,3,3,1,2563.206636221996,,,
A015,Null,6,,,1005,,,4,4,1,2563.206636221996,,,
A015,Null,6,,,1005,,,5,5,1,2563.206636221996,,,
A015,Null,6,,,1005,,,6,6,1,2563.206636221996,,,
A015,Null,6,,,1005,,,7,7,1,2563.206636221996,,,
A015,Null,6,,,1005,,,8,8,1,2563.206636221996,,,
A015,Null,6,,,1005,,,9,9,1,2563.206636221996,,,
A015,Null,6,,,1005,,,10,10,1,2563.206636221996,,,
A015,Null,7,,,1006,,,ALL,ALL,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,1,1,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,2,2,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,3,3,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,4,4,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,5,5,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,6,6,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,7,7,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,8,8,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,9,9,1,2630.1605694887894,,,
A015,Null,7,,,1006,,,10,10,1,2630.1605694887894,,,
A015,Null,8,,,1007,,,ALL,ALL,1,2807.199591316938,,,
A015,Null,8,,,1007,,,1,1,1,2807.199591316938,,,
A015,Null,8,,,1007,,,2,2,1,2807.199591316938,,,
A015,Null,8,,,1007,,,3,3,1,2807.199591316938,,,
A015,Null,8,,,1007,,,4,4,1,2807.199591316938,,,
A015,Null,8,,,1007,,,5,5,1,2807.199591316938,,,
A015,Null,8,,,1007,,,6,6,1,2807.199591316938,,,
A015,Null,8,,,1007,,,7,7,1,2807.199591316938,,,
A015,Null,8,,,1007,,,8,8,1,2807.199591316938,,,
A015,Null,8,,,1007,,,9,9,1,2807.199591316938,,,
A015,Null,8,,,1007,,,10,10,1,2807.199591316938,,,
A015,Null,9,,,1008,,,ALL,ALL,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,1,1,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,2,2,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,3,3,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,4,4,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,5,5,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,6,6,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,7,7,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,8,8,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,9,9,1,2336.4253207790794,,,
A015,Null,9,,,1008,,,10,10,1,2336.4253207790794,,,
A015,Null,10,,,1009,,,ALL,ALL,1,2142.147295788484,,,
A015,Null,10,,,1009,,,1,1,1,2142.147295788484,,,
A015,Null,10,,,1009,,,2,2,1,2142.147295788484,,,
A015,Null,10,,,1009,,,3,3,1,2142.147295788484,,,
A015,Null,10,,,1009,,,4,4,1,2142.147295788484,,,
A015,Null,10,,,1009,,,5,5,1,2142.147295788484,,,
A015,Null,10,,,1009,,,6,6,1,2142.147295788484,,,
A015,Null,10,,,1009,,,7,7,1,2142.147295788484,,,
A015,Null,10,,,1009,,,8,8,1,2142.147295788484,,,
A015,Null,10,,,1009,,,9,9,1,2142.147295788484,,,
A015,Null,10,,,1009,,,10,10,1,2142.147295788484,,,
A015,Null,11,,,1010,,,ALL,ALL,1,2489.623874277734,,,
A015,Null,11,,,1010,,,1,1,1,2489.623874277734,,,
A015,Null,11,,,1010,,,2,2,1,2489.623874277734,,,
A015,Null,11,,,1010,,,3,3,1,2489.623874277734,,,
A015,Null,11,,,1010,,,4,4,1,2489.623874277734,,,
A015,Null,11,,,1010,,,5,5,1,2489.623874277734,,,
A015,Null,11,,,1010,,,6,6,1,2489.623874277734,,,
A015,Null,11,,,1010,,,7,7,1,2489.623874277734,,,
A015,Null,11,,,1010,,,8,8,1,2489.623874277734,,,
A015,Null,11,,,1010,,,9,9,1,2489.623874277734,,,
A015,Null,11,,,1010,,,10,10,1,2489.623874277734,,,
A015,Null,12,,,1011,,,ALL,ALL,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,1,1,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,2,2,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,3,3,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,4,4,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,5,5,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,6,6,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,7,7,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,8,8,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,9,9,1,2688.0334241332016,,,
A015,Null,12,,,1011,,,10,10,1,2688.0334241332016,,,
A015,Null,13,,,1012,,,ALL,ALL,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,1,1,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,2,2,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,3,3,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,4,4,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,5,5,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,6,6,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,7,7,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,8,8,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,9,9,1,2832.1487155807176,,,
A015,Null,13,,,1012,,,10,10,1,2832.1487155807176,,,
A015,Null,14,,,1013,,,ALL,ALL,1,3274.098534659478,,,
A015,Null,14,,,1013,,,1,1,1,3274.098534659478,,,
A015,Null,14,,,1013,,,2,2,1,3274.098534659478,,,
A015,Null,14,,,1013,,,3,3,1,3274.098534659478,,,
A015,Null,14,,,1013,,,4,4,1,3274.098534659478,,,
A015,Null,14,,,1013,,,5,5,1,3274.098534659478,,,
A015,Null,14,,,1013,,,6,6,1,3274.098534659478,,,
A015,Null,14,,,1013,,,7,7,1,3274.098534659478,,,
A015,Null,14,,,1013,,,8,8,1,3274.098534659478,,,
A015,Null,14,,,1013,,,9,9,1,3274.098534659478,,,
A015,Null,14,,,1013,,,10,10,1,3274.098534659478,,,
A015,Null,15,,,1014,,,ALL,ALL,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,1,1,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,2,2,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,3,3,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,4,4,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,5,5,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,6,6,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,7,7,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,8,8,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,9,9,1,2261.3068091855257,,,
A015,Null,15,,,1014,,,10,10,1,2261.3068091855257,,,
A015,Null,16,,,1015,,,ALL,ALL,1,2454.365089009854,,,
A015,Null,16,,,1015,,,1,1,1,2454.365089009854,,,
A015,Null,16,,,1015,,,2,2,1,2454.365089009854,,,
