probeid,galleryid,truth
1,1000,True
2,1001,True
3,1002,True
4,1003,True
5,1004,True
6,1005,True
7,1006,True
8,1007,True
9,1008,True
10,1009,True
11,1010,True
12,1011,True
13,1012,True
14,1013,True
15,1014,True
16,1015,True
17,1016,True
18,1017,True
19,1018,True
20,1019,True
21,1020,True
22,1021,True
23,1022,True
24,1023,True
25,1024,True
26,1025,True
27,1026,True
28,1027,True
29,1028,True
30,1029,True
31,1030,True
32,1031,True
33,1032,True
34,1033,True
35,1034,True
36,1035,True
37,1036,True
38,1037,True
39,1038,True
40,1039,True
41,1040,True
42,1041,True
43,1042,True
44,1043,True
45,1044,True
46,1045,True
47,1046,True
48,1047,True
49,1048,True
50,1049,True
51,1050,True
52,1051,True
53,1052,True
54,1053,True
55,1054,True
56,1055,True
57,1056,True
58,1057,True
59,1058,True
60,1059,True
61,1060,True
62,1061,True
63,1062,True
64,1063,True
65,1064,True
66,1065,True
67,1066,True
68,1067,True
69,1068,True
70,1069,True
71,1070,True
72,1071,True
73,1072,True
74,1073,True
75,1074,True
76,1075,True
77,1076,True
78,1077,True
79,1078,True
80,1079,True
81,1080,True
82,1081,True
83,1082,True
84,1083,True
85,1084,True
86,1085,True
87,1086,True
88,1087,True
89,1088,True
90,1089,True
91,1090,True
92,1091,True
93,1092,True
94,1093,True
95,1094,True
96,1095,True
97,1096,True
98,1097,True
99,1098,True
100,1099,True
101,1100,True
102,1101,True
103,1102,True
104,1103,True
105,1104,True
106,1105,True
107,1106,True
108,1107,True
109,1108,True
110,1109,True
111,1110,True
112,1111,True
113,1112,True
114,1113,True
115,1114,True
116,1115,True
117,1116,True
118,1117,True
119,1118,True
120,1119,True
121,1120,True
122,1121,True
123,1122,True
124,1123,True
125,1124,True
126,1125,True
127,1126,True
128,1127,True
129,1128,True
130,1129,True
131,1130,True
132,1131,True
133,1132,True
134,1133,True
135,1134,True
136,1135,True
137,1136,True
138,1137,True
139,1138,True
140,1139,True
141,1140,True
142,1141,True
143,1142,True
144,1143,True
145,1144,True
146,1145,True
147,1146,True
148,1147,True
149,1148,True
150,1149,True
151,1150,True
152,1151,True
153,1152,True
154,1153,True
155,1154,True
156,1155,True
157,1156,True
158,1157,True
159,1158,True
160,1159,True
161,1160,True
162,1161,True
163,1162,True
164,1163,True
165,1164,True
166,1165,True
167,1166,True
168,1167,True
169,1168,True
170,1169,True
171,1170,True
172,1171,True
173,1172,True
174,1173,True
175,1174,True
176,1175,True
177,1176,True
178,1177,True
179,1178,True
180,1179,True
181,1180,True
182,1181,True
183,1182,True
184,1183,True
185,1184,True
186,1185,True
187,1186,True
188,1187,True
189,1188,True
190,1189,True
191,1190,True
192,1191,True
193,1192,True
194,1193,True
195,1194,True
196,1195,True
197,1196,True
198,1197,True
199,1198,True
200,1199,True
201,1200,True
202,1201,True
203,1202,True
204,1203,True
205,1204,True
206,1205,True
207,1206,True
208,1207,True
209,1208,True
210,1209,True
211,1210,True
212,1211,True
213,1212,True
214,1213,True
215,1214,True
216,1215,True
217,1216,True
218,1217,True
219,1218,True
220,1219,True
221,1220,True
222,1221,True
223,1222,True
224,1223,True
225,1224,True
226,1225,True
227,1226,True
228,1227,True
229,1228,True
230,1229,True
231,1230,True
232,1231,True
233,1232,True
234,1233,True
235,1234,True
236,1235,True
237,1236,True
238,1237,True
239,1238,True
240,1239,True
241,1240,True
242,1241,True
243,1242,True
244,1243,True
245,1244,True
246,1245,True
247,1246,True
248,1247,True
249,1248,True
250,1249,True
251,1250,False
252,1251,False
253,1252,False
254,1253,False
255,1254,False
256,1255,False
257,1256,False
258,1257,False
259,1258,False
260,1259,False
261,1260,False
262,1261,False
263,1262,False
264,1263,False
265,1264,False
266,1265,False
267,1266,False
268,1267,False
269,1268,False
270,1269,False
271,1270,False
272,1271,False
273,1272,False
274,1273,False
275,1274,False
276,1275,False
277,1276,False
278,1277,False
279,1278,False
280,1279,False
281,1280,False
282,1281,False
283,1282,False
284,1283,False
285,1284,False
286,1285,False
287,1286,False
288,1287,False
289,1288,False
290,1289,False
291,1290,False
292,1291,False
293,1292,False
294,1293,False
295,1294,False
296,1295,False
297,1296,False
298,1297,False
299,1298,False
300,1299,False
301,1300,False
302,1301,False
303,1302,False
304,1303,False
305,1304,False
306,1305,False
307,1306,False
308,1307,False
309,1308,False
310,1309,False
311,1310,False
312,1311,False
313,1312,False
314,1313,False
315,1314,False
316,1315,False
317,1316,False
318,1317,False
319,1318,False
320,1319,False
321,1320,False
322,1321,False
323,1322,False
324,1323,False
325,1324,False
326,1325,False
327,1326,False
328,1327,False
329,1328,False
330,1329,False
331,1330,False
332,1331,False
333,1332,False
334,1333,False
335,1334,False
336,1335,False
337,1336,False
338,1337,False
339,1338,False
340,1339,False
341,1340,False
342,1341,False
343,1342,False
344,1343,False
345,1344,False
346,1345,False
347,1346,False
348,1347,False
349,1348,False
350,1349,False
351,1350,False
352,1351,False
353,1352,False
354,1353,False
355,1354,False
356,1355,False
357,1356,False
358,1357,False
359,1358,False
360,1359,False
361,1360,False
362,1361,False
363,1362,False
364,1363,False
365,1364,False
366,1365,False
367,1366,False
368,1367,False
369,1368,False
370,1369,False
371,1370,False
372,1371,False
373,1372,False
374,1373,False
375,1374,False
376,1375,False
377,1376,False
378,1377,False
379,1378,False
380,1379,False
381,1380,False
382,1381,False
383,1382,False
384,1383,False
385,1384,False
386,1385,False
387,1386,False
388,1387,False
389,1388,False
390,1389,False
391,1390,False
392,1391,False
393,1392,False
394,1393,False
395,1394,False
396,1395,False
397,1396,False
398,1397,False
399,1398,False
400,1399,False
401,1400,False
402,1401,False
403,1402,False
404,1403,False
405,1404,False
406,1405,False
407,1406,False
408,1407,False
409,1408,False
410,1409,False
411,1410,False
412,1411,False
413,1412,False
414,1413,False
415,1414,False
416,1415,False
417,1416,False
418,1417,False
419,1418,False
420,1419,False
421,1420,False
422,1421,False
423,1422,False
424,1423,False
425,1424,False
426,1425,False
427,1426,False
428,1427,False
429,1428,False
430,1429,False
431,1430,False
432,1431,False
433,1432,False
434,1433,False
435,1434,False
436,1435,False
437,1436,False
438,1437,False
439,1438,False
440,1439,False
441,1440,False
442,1441,False
443,1442,False
444,1443,False
445,1444,False
446,1445,False
447,1446,False
448,1447,False
449,1448,False
450,1449,False
451,1450,False
452,1451,False
453,1452,False
454,1453,False
455,1454,False
456,1455,False
457,1456,False
458,1457,False
459,1458,False
460,1459,False
461,1460,False
462,1461,False
463,1462,False
464,1463,False
465,1464,False
466,1465,False
467,1466,False
468,1467,False
469,1468,False
470,1469,False
471,1470,False
472,1471,False
473,1472,False
474,1473,False
475,1474,False
476,1475,False
477,1476,False
478,1477,False
479,1478,False
480,1479,False
481,1480,False
482,1481,False
483,1482,False
484,1483,False
485,1484,False
486,1485,False
487,1486,False
488,1487,False
489,1488,False
490,1489,False
491,1490,False
492,1491,False
493,1492,False
494,1493,False
495,1494,False
496,1495,False
497,1496,False
498,1497,False
499,1498,False
500,1499,False
