TestId,Rank,ProbeMRR,ProbeERI,ProbeEPI,GalleryMRR,GalleryERI,GalleryEPI,P_Pos,G_Pos,MES_Id,Score,Qual_type,P_Qual,G_Qual
A011,1,1,,,1000,,,ALL,ALL,1,3066.187681657937,,,
A011,1,1,,,1000,,,NULL,10_1,1,3066.187681657937,,,
A011,2,1,,,1001,,,ALL,ALL,1,2027.3857319405301,,,
A011,2,1,,,1001,,,NULL,10_1,1,2027.3857319405301,,,
A011,3,1,,,1002,,,ALL,ALL,1,1792.3023606976149,,,
A011,3,1,,,1002,,,NULL,10_1,1,1792.3023606976149,,,
A011,4,1,,,1003,,,ALL,ALL,1,1730.8517542411591,,,
A011,4,1,,,1003,,,NULL,10_1,1,1730.8517542411591,,,
A011,5,1,,,1004,,,ALL,ALL,1,1647.3661212970442,,,
A011,5,1,,,1004,,,NULL,10_1,1,1647.3661212970442,,,
A011,6,1,,,1005,,,ALL,ALL,1,1524.8899083896092,,,
A011,6,1,,,1005,,,NULL,10_1,1,1524.8899083896092,,,
A011,7,1,,,1006,,,ALL,ALL,1,1502.6504763821995,,,
A011,7,1,,,1006,,,NULL,10_1,1,1502.6504763821995,,,
A011,8,1,,,1007,,,ALL,ALL,1,1418.6841439422965,,,
A011,8,1,,,1007,,,NULL,10_1,1,1418.6841439422965,,,
A011,9,1,,,1008,,,ALL,ALL,1,1292.8318754219908,,,
A011,9,1,,,1008,,,NULL,10_1,1,1292.8318754219908,,,
A011,10,1,,,1009,,,ALL,ALL,1,996.6037465750101,,,
A011,10,1,,,1009,,,NULL,10_1,1,996.6037465750101,,,
A011,1,2,,,1010,,,ALL,ALL,1,2211.0929867207524,,,
A011,1,2,,,1010,,,NULL,8_1,1,2211.0929867207524,,,
A011,2,2,,,1011,,,ALL,ALL,1,2011.4697199021418,,,
A011,2,2,,,1011,,,NULL,8_1,1,2011.4697199021418,,,
A011,3,2,,,1012,,,ALL,ALL,1,1946.800150974521,,,
A011,3,2,,,1012,,,NULL,8_1,1,1946.800150974521,,,
A011,4,2,,,1013,,,ALL,ALL,1,1854.677222488035,,,
A011,4,2,,,1013,,,NULL,8_1,1,1854.677222488035,,,
A011,5,2,,,1014,,,ALL,ALL,1,1531.9583445687667,,,
A011,5,2,,,1014,,,NULL,8_1,1,1531.9583445687667,,,
A011,6,2,,,1015,,,ALL,ALL,1,1389.8388129046461,,,
A011,6,2,,,1015,,,NULL,8_1,1,1389.8388129046461,,,
A011,7,2,,,1016,,,ALL,ALL,1,1348.381937159128,,,
A011,7,2,,,1016,,,NULL,8_1,1,1348.381937159128,,,
A011,8,2,,,1017,,,ALL,ALL,1,1239.9282620953304,,,
A011,8,2,,,1017,,,NULL,8_1,1,1239.9282620953304,,,
A011,9,2,,,1018,,,ALL,ALL,1,1166.2743726457659,,,
A011,9,2,,,1018,,,NULL,8_1,1,1166.2743726457659,,,
A011,10,2,,,1019,,,ALL,ALL,1,1081.1021870875736,,,
A011,10,2,,,1019,,,NULL,8_1,1,1081.1021870875736,,,
A011,1,3,,,1020,,,ALL,ALL,1,2327.104226448253,,,
A011,1,3,,,1020,,,NULL,8_1,1,2327.104226448253,,,
A011,2,3,,,1021,,,ALL,ALL,1,1759.238614764248,,,
A011,2,3,,,1021,,,NULL,8_1,1,1759.238614764248,,,
A011,3,3,,,1022,,,ALL,ALL,1,1751.5902378466437,,,
A011,3,3,,,1022,,,NULL,8_1,1,1751.5902378466437,,,
A011,4,3,,,1023,,,ALL,ALL,1,1573.8114549539132,,,
A011,4,3,,,1023,,,NULL,8_1,1,1573.8114549539132,,,
A011,5,3,,,1024,,,ALL,ALL,1,1516.636669426331,,,
A011,5,3,,,1024,,,NULL,8_1,1,1516.636669426331,,,
A011,6,3,,,1025,,,ALL,ALL,1,1489.433766105816,,,
A011,6,3,,,1025,,,NULL,8_1,1,1489.433766105816,,,
A011,7,3,,,1026,,,ALL,ALL,1,1253.3135528283922,,,
A011,7,3,,,1026,,,NULL,8_1,1,1253.3135528283922,,,
A011,8,3,,,1027,,,ALL,ALL,1,1159.9899139296977,,,
A011,8,3,,,1027,,,NULL,8_1,1,1159.9899139296977,,,
A011,9,3,,,1028,,,ALL,ALL,1,1113.3034530013035,,,
A011,9,3,,,1028,,,NULL,8_1,1,1113.3034530013035,,,
A011,10,3,,,1029,,,ALL,ALL,1,887.741854103385,,,
A011,10,3,,,1029,,,NULL,8_1,1,887.741854103385,,,
A011,1,4,,,1030,,,ALL,ALL,1,2564.036501310663,,,
A011,1,4,,,1030,,,NULL,1_1,1,2564.036501310663,,,
