TestId,Rank,ProbeMRR,ProbeERI,ProbeEPI,GalleryMRR,GalleryERI,GalleryEPI,P_Pos,G_Pos,MES_Id,Score,Qual_type,P_Qual,G_Qual
A013,1,1,,,1000,,,ALL,ALL,1,2906.7867129725423,,,
A013,1,1,,,1000,,,NULL,NULL,1,2906.7867129725423,,,
A013,2,1,,,1001,,,ALL,ALL,1,2251.475128874013,,,
A013,2,1,,,1001,,,NULL,NULL,1,2251.475128874013,,,
A013,3,1,,,1002,,,ALL,ALL,1,1728.4070520023024,,,
A013,3,1,,,1002,,,NULL,NULL,1,1728.4070520023024,,,
A013,4,1,,,1003,,,ALL,ALL,1,1709.7530501917595,,,
A013,4,1,,,1003,,,NULL,NULL,1,1709.7530501917595,,,
A013,5,1,,,1004,,,ALL,ALL,1,1686.7966222311143,,,
A013,5,1,,,1004,,,NULL,NULL,1,1686.7966222311143,,,
A013,6,1,,,1005,,,ALL,ALL,1,1643.7183138565028,,,
A013,6,1,,,1005,,,NULL,NULL,1,1643.7183138565028,,,
A013,7,1,,,1006,,,ALL,ALL,1,1468.4148786014327,,,
A013,7,1,,,1006,,,NULL,NULL,1,1468.4148786014327,,,
A013,8,1,,,1007,,,ALL,ALL,1,1428.5969068421134,,,
A013,8,1,,,1007,,,NULL,NULL,1,1428.5969068421134,,,
A013,9,1,,,1008,,,ALL,ALL,1,1393.8444133042863,,,
A013,9,1,,,1008,,,NULL,NULL,1,1393.8444133042863,,,
A013,10,1,,,1009,,,ALL,ALL,1,1105.3863132783117,,,
A013,10,1,,,1009,,,NULL,NULL,1,1105.3863132783117,,,
A013,1,2,,,1010,,,ALL,ALL,1,2557.818358026648,,,
A013,1,2,,,1010,,,NULL,NULL,1,2557.818358026648,,,
A013,2,2,,,1011,,,ALL,ALL,1,1919.019490099106,,,
A013,2,2,,,1011,,,NULL,NULL,1,1919.019490099106,,,
A013,3,2,,,1012,,,ALL,ALL,1,1870.5958958985793,,,
A013,3,2,,,1012,,,NULL,NULL,1,1870.5958958985793,,,
A013,4,2,,,1013,,,ALL,ALL,1,1799.7704227432923,,,
A013,4,2,,,1013,,,NULL,NULL,1,1799.7704227432923,,,
A013,5,2,,,1014,,,ALL,ALL,1,1759.546760471805,,,
A013,5,2,,,1014,,,NULL,NULL,1,1759.546760471805,,,
A013,6,2,,,1015,,,ALL,ALL,1,1702.9261323446967,,,
A013,6,2,,,1015,,,NULL,NULL,1,1702.9261323446967,,,
A013,7,2,,,1016,,,ALL,ALL,1,1610.9855650964075,,,
A013,7,2,,,1016,,,NULL,NULL,1,1610.9855650964075,,,
A013,8,2,,,1017,,,ALL,ALL,1,1580.4739870703245,,,
A013,8,2,,,1017,,,NULL,NULL,1,1580.4739870703245,,,
A013,9,2,,,1018,,,ALL,ALL,1,1556.6042042436095,,,
A013,9,2,,,1018,,,NULL,NULL,1,1556.6042042436095,,,
A013,10,2,,,1019,,,ALL,ALL,1,1372.6886381667916,,,
A013,10,2,,,1019,,,NULL,NULL,1,1372.6886381667916,,,
A013,1,3,,,1020,,,ALL,ALL,1,2430.9555670996037,,,
A013,1,3,,,1020,,,NULL,NULL,1,2430.9555670996037,,,
A013,2,3,,,1021,,,ALL,ALL,1,1955.5151400366913,,,
A013,2,3,,,1021,,,NULL,NULL,1,1955.5151400366913,,,
A013,3,3,,,1022,,,ALL,ALL,1,1822.1530974578793,,,
